Módulo,Operação,Tarefa,ID (mapeamento),Projeto,ID_US,DESC_US,ID_Task,DESC_Task,Tipo,Mapeado? (SIM ou NAO),Origem
X,X,X,139,NewPCS,#15108,Ajustar validações e testes Unitários e de Integração de Configuração de Commodity,#37410,Teste de integração de Excedente (Surplus),Tecnica,Nao,Virtus
X,X,X,140,NewPCS,#15108,Ajustar validações e testes Unitários e de Integração de Configuração de Commodity,#37411,Teste de integração - Diferença Residual (Residual Diff.),Tecnica,Nao,Virtus
X,X,X,141,NewPCS,#15121,Ajustes de validação de commodity config,#37596,Ajustar Log da copia de uma portaria,Negocio,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,142,NewPCS,#15121,Ajustes de validação de commodity config,#37597,"Ajustar a ação de ""Copy ordinance"" mediante aos ajustes das validações",Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar validação dados inserção no servidor,143,NewPCS,#15121,Ajustes de validação de commodity config,#37598,Adicionar alerta ao usuário caso alguma commodity não possuir pelo menos a obrigação cadastrada,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar validação dados inserção no servidor,144,NewPCS,#15121,Ajustes de validação de commodity config,#37835,"Ajustar para apenas a section ""Obligation"" ser obrigatória",Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,145,NewPCS,#15184,Ajuste nos scripts de banco de dados,#37716,Ajuste nos scripts de banco de dados e atualização do EDMX,Negocio,Sim,Virtus
Cadastro,Inserir_dados,Consumir serviço para inserção,146,NewPCS,#15185,Implementação do preview na tela Commodity Interchange,#37714,[Backend] Implementar service de preview,Negocio,Sim,Virtus
X,X,X,147,NewPCS,#15136,Refatorar R&D Investment,#37553,Ajustar testes de integração,Tecnica,Nao,Virtus
X,X,X,148,NewPCS,#15136,Refatorar R&D Investment,#37595,Correção de comportamento do select atrelado ao radios,Tecnica,Nao,Virtus
X,X,X,149,NewPCS,#15136,Refatorar R&D Investment,#37721,Finalizar ajustes de integration Tests,Tecnica,Nao,Virtus
X,X,X,150,NewPCS,#15127,[P&D Investment] Adicionar validações referentes as compensações de P&D,#37605,Checar se o investimento para compensar dispensa é válido,Tecnica,Nao,Virtus
X,X,X,151,NewPCS,#15127,[P&D Investment] Adicionar validações referentes as compensações de P&D,#37606,Elencar as validações em casos de dispensa,Tecnica,Nao,Virtus
X,X,X,152,NewPCS,#15127,[P&D Investment] Adicionar validações referentes as compensações de P&D,#38064,Elencar validações para compensação de P&D quando existe diferença residual,Tecnica,Nao,Virtus
X,X,X,153,NewPCS,#15127,[P&D Investment] Adicionar validações referentes as compensações de P&D,#38191,Análise da portaria para elencar validações de investimento,Tecnica,Nao,Virtus
X,X,X,154,NewPCS,#15127,[P&D Investment] Adicionar validações referentes as compensações de P&D,#38207,Checar se o investimento para compensar uma diferença residual é válido,Tecnica,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,155,NewPCS,#14341,Adicionar suporte a contabilização automática de insumos por SKU,#35672,Adicionar componente para commodity e a quantidade adicional a ser contabilizada,Negocio,Sim,Virtus
Cadastro,Atualizar_dados,Fazer validação de dados no cliente.,156,NewPCS,#14341,Adicionar suporte a contabilização automática de insumos por SKU,#35673,Validações persistência das alterações,Negocio,Sim,Virtus
X,X,X,157,NewPCS,#14341,Adicionar suporte a contabilização automática de insumos por SKU,#37607,Testes de unidade,Tecnica,Nao,Virtus
X,X,X,158,NewPCS,#14341,Adicionar suporte a contabilização automática de insumos por SKU,#37608,Testes de integração,Tecnica,Nao,Virtus
X,X,X,159,NewPCS,#14341,Adicionar suporte a contabilização automática de insumos por SKU,#38192,Análise do relacionamento de SKU com Commodity no banco de dados.,Tecnica,Tecnica,Tecnica
Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,160,NewPCS,#14341,Adicionar suporte a contabilização automática de insumos por SKU,#38276,Alterar método de modificação de SKU,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar entidade no banco de dados,161,NewPCS,#14341,Adicionar suporte a contabilização automática de insumos por SKU,#38335,Ajustes do script de banco de dados e EDMX,Negocio,Sim,Virtus
Cadastro,Inserir_dados,,162,Kaizen,#12,Como admin quero criar projetos - Frontend,,,,,
Cadastro,Atualizar_dados,,163,Kaizen,#14,Como ScrumMaster quero editar a descrição dos projetos - Frontend,,,,,
Cadastro,Inserir_dados,,164,Kaizen,#16,Como ScrumMaster quero criar uma sprint - Frontend,,,,,
Cadastro,Atualizar_dados,,165,Kaizen,#22,Como ScrumMaster quero atualizar as lições aprendidas do projeto - Frontend,,,,,
Cadastro,Atualizar_dados,,166,Kaizen,#24,Como ScrumMaster quero gerenciar os impedimentos do projeto - Frontend,,,,,
Cadastro,Inserir_dados,Fazer validação de dados no cliente,167,NewPCS,#15109,Processamento inicial de NF (Validação de dados),#37407,Validar se os Part Numbers relacionados as NFs (para cada uma) existem no New PCS,Negocio,Sim,Virtus
Cadastro,Inserir_dados,Fazer validação de dados no cliente,168,NewPCS,#15109,Processamento inicial de NF (Validação de dados),#38771,Validar se os SKUs relacionados as NFs (para cada uma) existem no New PCS,Negocio,Sim,Virtus
X,X,X,169,NewPCS,#14934,Importação dos dados de produção do SFIS,#36585,Criar/atualizar Job para realizar a importação,Negocio,Nao,Virtus
X,X,X,170,NewPCS,#14934,Importação dos dados de produção do SFIS,#35586,"Realizar importação e persistir dados ""raw""",Negocio,Nao,Virtus
X,X,X,171,NewPCS,#14934,Importação dos dados de produção do SFIS,#36584,Definir formato final dos dados de produção relacionado ao SKU e Part Numbers relacionados,Tecnica,Nao,Virtus
X,X,X,172,NewPCS,#14934,Importação dos dados de produção do SFIS,#38251,Análise do código fonte do PCS,Tecnica,Nao,Virtus
X,X,X,173,NewPCS,#14934,Importação dos dados de produção do SFIS,#38277,Análise do código fonte do PCS (parte 2),Tecnica,Nao,Virtus
X,X,X,174,NewPCS,#15137,Modelagem das tabelas de registro (saída do processamento da NF),#37602,Definição do modelo para consolidação dos dados da obrigação (Part 1),Tecnica,Nao,Virtus
X,X,X,175,NewPCS,#15137,Modelagem das tabelas de registro (saída do processamento da NF),#37603,Criação do script,Tecnica,Nao,Virtus
X,X,X,176,NewPCS,#15137,Modelagem das tabelas de registro (saída do processamento da NF),#38547,Definição do modelo para consolidação dos dados da obrigação (Part 2),Tecnica,Nao,Virtus
X,X,X,177,NewPCS,#15137,Modelagem das tabelas de registro (saída do processamento da NF),#38629,Ajustar código após alterações no banco,Tecnica,Nao,Virtus
X,X,X,178,NewPCS,#15129,[NFe Processing] Calculo da obrigação,#37580,Criar testes de unidade,Tecnica,Nao,Virtus
X,X,X,179,NewPCS,#15129,[NFe Processing] Calculo da obrigação,#37573,Implementar tratamento da regra,Tecnica,Nao,Virtus
X,X,X,180,NewPCS,#15129,[NFe Processing] Calculo da obrigação,#37567,Definir casos a tratar,Tecnica,Nao,Virtus
X,X,X,181,NewPCS,#15129,[NFe Processing] Calculo da obrigação,#38303,Ajustes nos processador de notas ficais para receber os parâmetros necessários para o cálculo/validação da obrigação,Negocio,Nao,Virtus
X,X,X,182,NewPCS,#15129,[NFe Processing] Calculo da obrigação,#38426,Definição e passagens de parâmetros que serão utilizados por todos os processadores de notas fiscais,Negocio,Nao,Virtus
X,X,X,183,NewPCS,#15130,[NFe Processing] Calcular as dispensas de PartNumbers específicos,#37582,Criar testes de unidade,Tecnica,Nao,Virtus
X,X,X,184,NewPCS,#15130,[NFe Processing] Calcular as dispensas de PartNumbers específicos,#37575,Implementar tratamento da regra,Negocio,Nao,Virtus
X,X,X,185,NewPCS,#15130,[NFe Processing] Calcular as dispensas de PartNumbers específicos,#37569,Definir casos a tratar,Tecnica,Nao,Virtus
X,X,X,186,NewPCS,#15130,[NFe Processing] Calcular as dispensas de PartNumbers específicos,#37500,Análise da portaria para elencar validações de investimento,Tecnica,Nao,Virtus
X,X,X,187,NewPCS,#15130,[NFe Processing] Calcular as dispensas de PartNumbers específicos,#37672,Análise das regras,Tecnica,Nao,Virtus
X,X,X,188,NewPCS,#15130,[NFe Processing] Calcular as dispensas de PartNumbers específicos,#38740,"Atualização do banco, script e EDMX",Tecnica,Nao,Virtus
X,X,X,189,NewPCS,#15130,[NFe Processing] Calcular as dispensas de PartNumbers específicos,#38751,Implementar leitura dos dados,Negocio,Nao,Virtus
X,X,X,190,NewPCS,#15132,[NFe Processing] Calcular a diferença residual corrente,#37583,Criar testes de unidade,Tecnica,Nao,Virtus
X,X,X,191,NewPCS,#15132,[NFe Processing] Calcular a diferença residual corrente,#37576,Implementar tratamento da regra,Negocio,Nao,Virtus
X,X,X,192,NewPCS,#15132,[NFe Processing] Calcular a diferença residual corrente,#37570,Definir casos a tratar,Tecnica,Nao,Virtus
X,X,X,193,NewPCS,#15133,Cálculo de compensação entre insumos,#37571,Definir casos a tratar,Tecnica,Nao,Virtus
X,X,X,194,NewPCS,#15133,Cálculo de compensação entre insumos,#37578,Implementar tratamento da regra,Negocio,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar método de inserção,195,NewPCS,#15133,Cálculo de compensação entre insumos,#37584,Ajustes no service de Ordinance,Negocio,Sim,Virtus
X,X,X,196,NewPCS,#15133,Cálculo de compensação entre insumos,#37545,Criação da tabela no banco de dados e ajustes no metadata,Tecnica,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar validação de dados no cliente,197,NewPCS,#15133,Cálculo de compensação entre insumos,#37749,Ajustar atualização da matriz de proporcionalidade para a consolidação,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,198,NewPCS,#15134,Ajustes no gerenciamento de Crédito/débito avulso,#37572,"Adicionar a label ""(+/-)"" no campo valor.",Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,199,NewPCS,#15134,Ajustes no gerenciamento de Crédito/débito avulso,#37579,"Adicionar a opção para selecionar entre: ""Base de cálculo"" e ""obrigação""",Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,200,NewPCS,#15134,Ajustes no gerenciamento de Crédito/débito avulso,#37585,Adicionar campo para informar o cliente (Master Customer) logo antes do valor,Negocio,Sim,Virtus
