Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
0.8333333333333334,0.7142857142857143,0.7352941176470589,cosine_False_2,2,cosine,nao
0.45454545454545453,0.625,0.5813953488372092,cosine_False_2,2,cosine,nao
0.8,0.6666666666666666,0.689655172413793,cosine_False_2,2,cosine,nao
0.8333333333333334,0.5555555555555556,0.5952380952380952,cosine_False_2,2,cosine,nao
0.45454545454545453,0.5555555555555556,0.5319148936170213,cosine_False_2,2,cosine,nao
0.8,0.8,0.8,cosine_False_2,2,cosine,nao
0.8333333333333334,0.8333333333333334,0.8333333333333334,cosine_False_2,2,cosine,nao
0.45454545454545453,0.8333333333333334,0.7142857142857143,cosine_False_2,2,cosine,nao
0.8,0.6666666666666666,0.689655172413793,cosine_False_2,2,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_2,2,cosine,nao
0.8333333333333334,0.8333333333333334,0.8333333333333334,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.3333333333333333,1.0,0.7142857142857143,cosine_False_2,2,cosine,nao
0.4444444444444444,0.8,0.6896551724137933,cosine_False_2,2,cosine,nao
0.6666666666666666,0.8,0.7692307692307692,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.14285714285714285,1.0,0.4545454545454545,cosine_False_2,2,cosine,nao
0.6666666666666666,0.8,0.7692307692307692,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.16666666666666666,1.0,0.5,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.2222222222222222,0.3333333333333333,0.30303030303030304,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.1111111111111111,0.5,0.29411764705882354,cosine_False_2,2,cosine,nao
0.1,1.0,0.35714285714285715,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.1,0.3333333333333333,0.22727272727272724,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.1111111111111111,0.16666666666666666,0.15151515151515152,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.5,0.5,0.5,cosine_False_3,3,cosine,nao
