ID,Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
135,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
136,1.0,0.8888888888888888,1.2743362831858407,cosine_False_1,1,cosine,nao
137,1.0,625,0.9782608695652174,cosine_False_1,1,cosine,nao
138,0.8888888888888888,1.0,1.3333333333333333,cosine_False_1,1,cosine,nao
139,1.0,625,0.9782608695652174,cosine_False_1,1,cosine,nao
140,875,1.0,1.3263157894736841,cosine_False_1,1,cosine,nao
141,0.5555555555555556,1.0,1.1111111111111112,cosine_False_1,1,cosine,nao
142,0.75,0.8571428571428571,1.1368421052631579,cosine_False_1,1,cosine,nao
143,1.0,625,0.9782608695652174,cosine_False_1,1,cosine,nao
144,1.0,0.6,0.9473684210526314,cosine_False_1,1,cosine,nao
145,1.0,0.9,1.2857142857142856,cosine_False_1,1,cosine,nao
146,0.75,0.75,1.0384615384615385,cosine_False_1,1,cosine,nao
147,1.0,0.6,0.9473684210526314,cosine_False_1,1,cosine,nao
148,1.0,625,0.9782608695652174,cosine_False_1,1,cosine,nao
149,1.0,0.9,1.2857142857142856,cosine_False_1,1,cosine,nao
150,1.0,0.6,0.9473684210526314,cosine_False_1,1,cosine,nao
151,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
152,0.7777777777777778,1.0,1.2727272727272727,cosine_False_1,1,cosine,nao
153,0.75,0.75,1.0384615384615385,cosine_False_1,1,cosine,nao
154,1.0,625,0.9782608695652174,cosine_False_1,1,cosine,nao
155,1.0,0.6,0.9473684210526314,cosine_False_1,1,cosine,nao
156,0.4444444444444444,0.8,0.888888888888889,cosine_False_1,1,cosine,nao
157,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
158,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
159,0.3333333333333333,1.0,0.8571428571428571,cosine_False_1,1,cosine,nao
160,0.5,0.8,0.935064935064935,cosine_False_1,1,cosine,nao
161,0.6,0.6,0.8307692307692308,cosine_False_1,1,cosine,nao
162,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
163,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
164,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
165,0.6,0.6,0.8307692307692308,cosine_False_1,1,cosine,nao
166,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
167,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
168,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
169,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
170,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
171,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
172,0.25,0.3333333333333333,0.4186046511627907,cosine_False_1,1,cosine,nao
173,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
174,125,0.5,0.36,cosine_False_1,1,cosine,nao
175,125,1.0,0.43902439024390244,cosine_False_1,1,cosine,nao
176,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
177,125,0.3333333333333333,0.3050847457627119,cosine_False_1,1,cosine,nao
178,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
179,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
180,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
181,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
182,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
183,125,0.16666666666666666,0.20930232558139536,cosine_False_1,1,cosine,nao
184,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
185,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
1,0.42857142857142855,375,0.5399999999999999,cosine_False_2,2,cosine,nao
2,375,0.21428571428571427,0.3417721518987342,cosine_False_2,2,cosine,nao
3,0.7142857142857143,0.5,0.7627118644067796,cosine_False_2,2,cosine,nao
4,0.6,0.6,0.8307692307692308,cosine_False_2,2,cosine,nao
5,0.8571428571428571,0.75,1.0799999999999998,cosine_False_2,2,cosine,nao
